iso3,year_month,acled_total_events,acled_battles,acled_explosions,acled_violence_against_civilians,acled_protests,acled_riots,acled_strategic_developments,acled_total_fatalities,acled_civilian_targeting_events,acled_fatalities_per_event,acled_violence_share,acled_protest_share
ARG,2018-01-01,115,0.0,0.0,0.0,105.0,9.0,1.0,0,1.0,0.0,0.0,0.991304347826087
ARG,2018-02-01,131,0.0,0.0,1.0,109.0,21.0,0.0,1,1.0,0.007633587786259542,0.007633587786259542,0.9923664122137404
ARG,2018-03-01,231,0.0,0.0,3.0,216.0,12.0,0.0,2,7.0,0.008658008658008658,0.012987012987012988,0.987012987012987
ARG,2018-04-01,247,0.0,0.0,4.0,237.0,6.0,0.0,2,6.0,0.008097165991902834,0.016194331983805668,0.9838056680161943
ARG,2018-05-01,193,0.0,0.0,2.0,179.0,12.0,0.0,0,3.0,0.0,0.010362694300518135,0.9896373056994818
ARG,2018-06-01,227,0.0,0.0,4.0,198.0,25.0,0.0,2,9.0,0.00881057268722467,0.01762114537444934,0.9823788546255506
ARG,2018-07-01,186,0.0,3.0,4.0,173.0,5.0,1.0,0,4.0,0.0,0.03763440860215054,0.956989247311828
ARG,2018-08-01,185,0.0,1.0,3.0,174.0,7.0,0.0,0,3.0,0.0,0.021621621621621623,0.9783783783783784
ARG,2018-09-01,191,0.0,1.0,5.0,172.0,11.0,2.0,5,8.0,0.02617801047120419,0.031413612565445025,0.9581151832460733
ARG,2018-10-01,142,0.0,1.0,10.0,120.0,8.0,3.0,3,13.0,0.02112676056338028,0.07746478873239436,0.9014084507042254
ARG,2018-11-01,144,0.0,3.0,3.0,124.0,10.0,4.0,12,4.0,0.08333333333333333,0.041666666666666664,0.9305555555555556
ARG,2018-12-01,138,0.0,0.0,9.0,123.0,4.0,2.0,0,11.0,0.0,0.06521739130434782,0.9202898550724637
ARG,2019-01-01,134,0.0,0.0,3.0,117.0,13.0,1.0,5,9.0,0.03731343283582089,0.022388059701492536,0.9701492537313433
ARG,2019-02-01,141,0.0,0.0,4.0,124.0,12.0,1.0,1,6.0,0.0070921985815602835,0.028368794326241134,0.9645390070921985
ARG,2019-03-01,69,0.0,0.0,1.0,67.0,0.0,1.0,0,1.0,0.0,0.014492753623188406,0.9710144927536232
ARG,2019-04-01,47,0.0,0.0,0.0,42.0,5.0,0.0,2,2.0,0.0425531914893617,0.0,1.0
ARG,2019-05-01,76,0.0,0.0,6.0,60.0,10.0,0.0,7,7.0,0.09210526315789473,0.07894736842105263,0.9210526315789473
ARG,2019-06-01,62,0.0,0.0,2.0,49.0,11.0,0.0,1,3.0,0.016129032258064516,0.03225806451612903,0.967741935483871
ARG,2019-07-01,90,0.0,0.0,1.0,82.0,7.0,0.0,1,2.0,0.011111111111111112,0.011111111111111112,0.9888888888888889
ARG,2019-08-01,133,0.0,0.0,5.0,113.0,13.0,2.0,5,8.0,0.03759398496240601,0.03759398496240601,0.9473684210526315
ARG,2019-09-01,134,0.0,0.0,0.0,127.0,7.0,0.0,0,1.0,0.0,0.0,1.0
ARG,2019-10-01,86,0.0,0.0,3.0,70.0,13.0,0.0,0,4.0,0.0,0.03488372093023256,0.9651162790697675
ARG,2019-11-01,155,0.0,0.0,1.0,138.0,13.0,3.0,1,1.0,0.0064516129032258064,0.0064516129032258064,0.9741935483870968
ARG,2019-12-01,151,1.0,0.0,4.0,131.0,12.0,3.0,1,6.0,0.006622516556291391,0.033112582781456956,0.9470198675496688
ARG,2020-01-01,168,0.0,0.0,5.0,155.0,7.0,1.0,1,7.0,0.005952380952380952,0.02976190476190476,0.9642857142857143
ARG,2020-02-01,173,0.0,0.0,1.0,168.0,3.0,1.0,1,1.0,0.005780346820809248,0.005780346820809248,0.9884393063583815
ARG,2020-03-01,130,0.0,0.0,0.0,119.0,8.0,3.0,6,0.0,0.046153846153846156,0.0,0.9769230769230769
ARG,2020-04-01,89,0.0,0.0,7.0,70.0,12.0,0.0,3,10.0,0.033707865168539325,0.07865168539325842,0.9213483146067416
ARG,2020-05-01,180,0.0,0.0,8.0,163.0,8.0,1.0,1,9.0,0.005555555555555556,0.044444444444444446,0.95
ARG,2020-06-01,268,0.0,0.0,5.0,251.0,11.0,1.0,1,7.0,0.0037313432835820895,0.018656716417910446,0.9776119402985075
ARG,2020-07-01,204,0.0,0.0,7.0,187.0,10.0,0.0,3,7.0,0.014705882352941176,0.03431372549019608,0.9656862745098039
ARG,2020-08-01,241,0.0,0.0,3.0,231.0,7.0,0.0,1,4.0,0.004149377593360996,0.012448132780082987,0.9875518672199171
ARG,2020-09-01,460,1.0,0.0,2.0,437.0,19.0,1.0,1,5.0,0.002173913043478261,0.006521739130434782,0.991304347826087
ARG,2020-10-01,403,0.0,0.0,2.0,380.0,21.0,0.0,5,5.0,0.01240694789081886,0.004962779156327543,0.9950372208436724
ARG,2020-11-01,376,0.0,0.0,1.0,357.0,18.0,0.0,0,3.0,0.0,0.0026595744680851063,0.9973404255319149
ARG,2020-12-01,255,0.0,0.0,1.0,241.0,12.0,1.0,1,2.0,0.00392156862745098,0.00392156862745098,0.9921568627450981
ARG,2021-01-01,201,0.0,0.0,1.0,197.0,3.0,0.0,1,2.0,0.004975124378109453,0.004975124378109453,0.9950248756218906
ARG,2021-02-01,285,0.0,0.0,2.0,269.0,14.0,0.0,1,3.0,0.0035087719298245615,0.007017543859649123,0.9929824561403509
ARG,2021-03-01,375,0.0,0.0,3.0,354.0,17.0,1.0,0,4.0,0.0,0.008,0.9893333333333333
ARG,2021-04-01,358,0.0,0.0,2.0,338.0,17.0,1.0,0,5.0,0.0,0.00558659217877095,0.9916201117318436
ARG,2021-05-01,266,0.0,1.0,2.0,254.0,9.0,0.0,0,2.0,0.0,0.011278195488721804,0.9887218045112782
