iso3,year_month,bop_current_account_balance_usd,bop_fdi_liabilities_usd,bop_other_investment_loans_liabilities_usd,bop_portfolio_liabilities_usd,bop_reserve_assets_usd,bop_workers_remittances_credit_usd,bop_total_liability_inflows_usd,bop_current_account_balance_usd_3m_change,bop_reserve_assets_usd_3m_change,bop_total_liability_inflows_usd_3m_change,bop_reserve_assets_3m_pct_change
ARG,2000-01-01,-3249.45214249591,2271.88231342866,-2717.0155619677,2725.93482468913,-429.1690945124354,5.0,2280.80157615009,,,,
ARG,2000-02-01,-3249.45214249591,2271.88231342866,-2717.0155619677,2725.93482468913,-429.1690945124354,5.0,2280.80157615009,,,,
ARG,2000-03-01,-3249.45214249591,2271.88231342866,-2717.0155619677,2725.93482468913,-429.1690945124354,5.0,2280.80157615009,,,,
ARG,2000-04-01,-1374.74941459993,1182.09672365952,-1902.58639726285,1274.98455083184,1038.123271159098,7.5,554.4948772285102,1874.7027278959797,1467.2923656715334,-1726.30669892158,-341.8914326388006
ARG,2000-05-01,-1374.74941459993,1182.09672365952,-1902.58639726285,1274.98455083184,1038.123271159098,7.5,554.4948772285102,1874.7027278959797,1467.2923656715334,-1726.30669892158,-341.8914326388006
ARG,2000-06-01,-1374.74941459993,1182.09672365952,-1902.58639726285,1274.98455083184,1038.123271159098,7.5,554.4948772285102,1874.7027278959797,1467.2923656715334,-1726.30669892158,-341.8914326388006
ARG,2000-07-01,-2321.22695794397,6258.53449404089,1816.54732208812,-3710.33773279641,-2142.429268512192,12.5,4364.7440833326,-946.4775433440398,-3180.55253967129,3810.24920610409,-306.3752280709497
ARG,2000-08-01,-2321.22695794397,6258.53449404089,1816.54732208812,-3710.33773279641,-2142.429268512192,12.5,4364.7440833326,-946.4775433440398,-3180.55253967129,3810.24920610409,-306.3752280709497
ARG,2000-09-01,-2321.22695794397,6258.53449404089,1816.54732208812,-3710.33773279641,-2142.429268512192,12.5,4364.7440833326,-946.4775433440398,-3180.55253967129,3810.24920610409,-306.3752280709497
ARG,2000-10-01,-2035.1893775878,705.800808013765,3334.90164119801,-1622.03423666056,1130.192451084345,25.0,2418.668212551215,286.0375803561699,3272.621719596537,-1946.0758707813848,-152.7528477926931
ARG,2000-11-01,-2035.1893775878,705.800808013765,3334.90164119801,-1622.03423666056,1130.192451084345,25.0,2418.668212551215,286.0375803561699,3272.621719596537,-1946.0758707813848,-152.7528477926931
ARG,2000-12-01,-2035.1893775878,705.800808013765,3334.90164119801,-1622.03423666056,1130.192451084345,25.0,2418.668212551215,286.0375803561699,3272.621719596537,-1946.0758707813848,-152.7528477926931
ARG,2001-01-01,-2829.35646296962,1854.34607725059,2657.07067489071,-2660.31484821937,-3881.437691606238,30.9,1851.10190392193,-794.1670853818202,-5011.630142690583,-567.5663086292852,-443.4315711348324
ARG,2001-02-01,-2829.35646296962,1854.34607725059,2657.07067489071,-2660.31484821937,-3881.437691606238,30.9,1851.10190392193,-794.1670853818202,-5011.630142690583,-567.5663086292852,-443.4315711348324
ARG,2001-03-01,-2829.35646296962,1854.34607725059,2657.07067489071,-2660.31484821937,-3881.437691606238,30.9,1851.10190392193,-794.1670853818202,-5011.630142690583,-567.5663086292852,-443.4315711348324
ARG,2001-04-01,-952.085146325939,950.32036774105,1275.56767457695,-1631.70151687016,-1442.222988264729,36.9,594.1865254478398,1877.271316643681,2439.2147033415085,-1256.9153784740902,-62.84307251965957
ARG,2001-05-01,-952.085146325939,950.32036774105,1275.56767457695,-1631.70151687016,-1442.222988264729,36.9,594.1865254478398,1877.271316643681,2439.2147033415085,-1256.9153784740902,-62.84307251965957
ARG,2001-06-01,-952.085146325939,950.32036774105,1275.56767457695,-1631.70151687016,-1442.222988264729,36.9,594.1865254478398,1877.271316643681,2439.2147033415085,-1256.9153784740902,-62.84307251965957
ARG,2001-07-01,-558.1082915375,430.08254637399,6592.32786183237,-2994.39227310692,-297.7254247218431,41.1,4028.01813509944,393.976854788439,1144.497563542886,3433.8316096516,-79.35649153116995
ARG,2001-08-01,-558.1082915375,430.08254637399,6592.32786183237,-2994.39227310692,-297.7254247218431,41.1,4028.01813509944,393.976854788439,1144.497563542886,3433.8316096516,-79.35649153116995
ARG,2001-09-01,-558.1082915375,430.08254637399,6592.32786183237,-2994.39227310692,-297.7254247218431,41.1,4028.01813509944,393.976854788439,1144.497563542886,3433.8316096516,-79.35649153116995
ARG,2001-10-01,559.126659639463,-1068.61216160164,-747.752064615281,-2428.80664141538,-6448.709724411997,46.6,-4245.1708676323005,1117.234951176963,-6150.984299690153,-8273.18900273174,2065.992283137006
ARG,2001-11-01,559.126659639463,-1068.61216160164,-747.752064615281,-2428.80664141538,-6448.709724411997,46.6,-4245.1708676323005,1117.234951176963,-6150.984299690153,-8273.18900273174,2065.992283137006
ARG,2001-12-01,559.126659639463,-1068.61216160164,-747.752064615281,-2428.80664141538,-6448.709724411997,46.6,-4245.1708676323005,1117.234951176963,-6150.984299690153,-8273.18900273174,2065.992283137006
ARG,2002-01-01,1249.47,1425.17,-1438.65,-2255.0,-2189.799338665437,32.4,-2268.48,690.343340360537,4258.91038574656,1976.6908676323005,-66.04282977142213
ARG,2002-02-01,1249.47,1425.17,-1438.65,-2255.0,-2189.799338665437,32.4,-2268.48,690.343340360537,4258.91038574656,1976.6908676323005,-66.04282977142213
ARG,2002-03-01,1249.47,1425.17,-1438.65,-2255.0,-2189.799338665437,32.4,-2268.48,690.343340360537,4258.91038574656,1976.6908676323005,-66.04282977142213
ARG,2002-04-01,2530.06,366.18,-2330.28,-1202.14,-3127.936540835179,38.8,-3166.2400000000002,1280.59,-938.1372021697421,-897.7600000000002,42.84124054679299
ARG,2002-05-01,2530.06,366.18,-2330.28,-1202.14,-3127.936540835179,38.8,-3166.2400000000002,1280.59,-938.1372021697421,-897.7600000000002,42.84124054679299
ARG,2002-06-01,2530.06,366.18,-2330.28,-1202.14,-3127.936540835179,38.8,-3166.2400000000002,1280.59,-938.1372021697421,-897.7600000000002,42.84124054679299
ARG,2002-07-01,2662.29,-924.44,-2009.04,130.67,-214.3463441177191,46.2,-2802.81,132.23000000000002,2913.59019671746,363.4300000000003,-93.14735636994453
ARG,2002-08-01,2662.29,-924.44,-2009.04,130.67,-214.3463441177191,46.2,-2802.81,132.23000000000002,2913.59019671746,363.4300000000003,-93.14735636994453
ARG,2002-09-01,2662.29,-924.44,-2009.04,130.67,-214.3463441177191,46.2,-2802.81,132.23000000000002,2913.59019671746,363.4300000000003,-93.14735636994453
ARG,2002-10-01,2324.79,1282.0,-2688.34,-1790.75,1006.00232535673,53.7,-3197.09,-337.5,1220.348669474449,-394.2800000000002,-569.3349585679116
ARG,2002-11-01,2324.79,1282.0,-2688.34,-1790.75,1006.00232535673,53.7,-3197.09,-337.5,1220.348669474449,-394.2800000000002,-569.3349585679116
ARG,2002-12-01,2324.79,1282.0,-2688.34,-1790.75,1006.00232535673,53.7,-3197.09,-337.5,1220.348669474449,-394.2800000000002,-569.3349585679116
ARG,2003-01-01,1996.15,184.74,-51.1800000000005,-1987.88,72.4113108245467,49.8,-1854.3200000000006,-328.6399999999999,-933.5910145321833,1342.7699999999995,-92.80207321599684
ARG,2003-02-01,1996.15,184.74,-51.1800000000005,-1987.88,72.4113108245467,49.8,-1854.3200000000006,-328.6399999999999,-933.5910145321833,1342.7699999999995,-92.80207321599684
ARG,2003-03-01,1996.15,184.74,-51.1800000000005,-1987.88,72.4113108245467,49.8,-1854.3200000000006,-328.6399999999999,-933.5910145321833,1342.7699999999995,-92.80207321599684
ARG,2003-04-01,3275.78,-122.66,-684.73,-2114.99,1624.55064403972,60.2,-2922.3799999999997,1279.63,1552.1393332151733,-1068.059999999999,2143.5039851384845
ARG,2003-05-01,3275.78,-122.66,-684.73,-2114.99,1624.55064403972,60.2,-2922.3799999999997,1279.63,1552.1393332151733,-1068.059999999999,2143.5039851384845
ARG,2003-06-01,3275.78,-122.66,-684.73,-2114.99,1624.55064403972,60.2,-2922.3799999999997,1279.63,1552.1393332151733,-1068.059999999999,2143.5039851384845
ARG,2003-07-01,1621.51,-207.67,-1150.12,-565.03,1224.447557541569,60.6,-1922.8199999999997,-1654.2700000000002,-400.103086498151,999.56,-24.628538849563164
ARG,2003-08-01,1621.51,-207.67,-1150.12,-565.03,1224.447557541569,60.6,-1922.8199999999997,-1654.2700000000002,-400.103086498151,999.56,-24.628538849563164
ARG,2003-09-01,1621.51,-207.67,-1150.12,-565.03,1224.447557541569,60.6,-1922.8199999999997,-1654.2700000000002,-400.103086498151,999.56,-24.628538849563164
ARG,2003-10-01,1246.49,1797.6,-3253.28,-2995.03,575.9999608965666,65.3,-4450.710000000001,-375.02,-648.4475966450025,-2527.8900000000012,-52.958380508100134
ARG,2003-11-01,1246.49,1797.6,-3253.28,-2995.03,575.9999608965666,65.3,-4450.710000000001,-375.02,-648.4475966450025,-2527.8900000000012,-52.958380508100134
ARG,2003-12-01,1246.49,1797.6,-3253.28,-2995.03,575.9999608965666,65.3,-4450.710000000001,-375.02,-648.4475966450025,-2527.8900000000012,-52.958380508100134
ARG,2004-01-01,515.73,1516.65,-1625.61,-3815.71,883.9337256853559,59.0,-3924.67,-730.76,307.9337647887893,526.0400000000009,53.46072668294599
ARG,2004-02-01,515.73,1516.65,-1625.61,-3815.71,883.9337256853559,59.0,-3924.67,-730.76,307.9337647887893,526.0400000000009,53.46072668294599
ARG,2004-03-01,515.73,1516.65,-1625.61,-3815.71,883.9337256853559,59.0,-3924.67,-730.76,307.9337647887893,526.0400000000009,53.46072668294599
ARG,2004-04-01,1789.16,919.96,-1267.81,-1099.46,2582.623292066749,65.62,-1447.31,1273.43,1698.689566381393,2477.36,192.17386066634333
ARG,2004-05-01,1789.16,919.96,-1267.81,-1099.46,2582.623292066749,65.62,-1447.31,1273.43,1698.689566381393,2477.36,192.17386066634333
ARG,2004-06-01,1789.16,919.96,-1267.81,-1099.46,2582.623292066749,65.62,-1447.31,1273.43,1698.689566381393,2477.36,192.17386066634333
ARG,2004-07-01,609.71,1011.4,-1521.9,-2224.37,717.5828299584405,67.0,-2734.87,-1179.45,-1865.0404621083085,-1287.56,-72.21496328315875
ARG,2004-08-01,609.71,1011.4,-1521.9,-2224.37,717.5828299584405,67.0,-2734.87,-1179.45,-1865.0404621083085,-1287.56,-72.21496328315875
ARG,2004-09-01,609.71,1011.4,-1521.9,-2224.37,717.5828299584405,67.0,-2734.87,-1179.45,-1865.0404621083085,-1287.56,-72.21496328315875
ARG,2004-10-01,297.19,676.7,-1923.22999436718,-2199.3,1098.498463718353,78.47,-3445.82999436718,-312.52000000000004,380.91563375991245,-710.9599943671801,53.08315888522215
ARG,2004-11-01,297.19,676.7,-1923.22999436718,-2199.3,1098.498463718353,78.47,-3445.82999436718,-312.52000000000004,380.91563375991245,-710.9599943671801,53.08315888522215
ARG,2004-12-01,297.19,676.7,-1923.22999436718,-2199.3,1098.498463718353,78.47,-3445.82999436718,-312.52000000000004,380.91563375991245,-710.9599943671801,53.08315888522215
ARG,2005-01-01,125.48,1294.03,-2228.3,-3104.58,878.56605739302,79.47,-4038.8500000000004,-171.70999999999998,-219.93240632533298,-593.0200056328204,-20.02118469796259
ARG,2005-02-01,125.48,1294.03,-2228.3,-3104.58,878.56605739302,79.47,-4038.8500000000004,-171.70999999999998,-219.93240632533298,-593.0200056328204,-20.02118469796259
ARG,2005-03-01,125.48,1294.03,-2228.3,-3104.58,878.56605739302,79.47,-4038.8500000000004,-171.70999999999998,-219.93240632533298,-593.0200056328204,-20.02118469796259
ARG,2005-04-01,1734.28,2160.22,-1923.52,-763.56,3018.739224422603,90.68,-526.8600000000001,1608.8,2140.173167029583,3511.9900000000002,243.59843508866547
ARG,2005-05-01,1734.28,2160.22,-1923.52,-763.56,3018.739224422603,90.68,-526.8600000000001,1608.8,2140.173167029583,3511.9900000000002,243.59843508866547
ARG,2005-06-01,1734.28,2160.22,-1923.52,-763.56,3018.739224422603,90.68,-526.8600000000001,1608.8,2140.173167029583,3511.9900000000002,243.59843508866547
ARG,2005-07-01,1954.99,747.29,-1844.62,924.21,2619.634307616341,102.83,-173.1199999999999,220.71000000000004,-399.1049168062618,353.74000000000024,-13.220914002023443
ARG,2005-08-01,1954.99,747.29,-1844.62,924.21,2619.634307616341,102.83,-173.1199999999999,220.71000000000004,-399.1049168062618,353.74000000000024,-13.220914002023443
ARG,2005-09-01,1954.99,747.29,-1844.62,924.21,2619.634307616341,102.83,-173.1199999999999,220.71000000000004,-399.1049168062618,353.74000000000024,-13.220914002023443
ARG,2005-10-01,1459.0,1063.71,-1458.1,1189.16,2571.397464321032,108.42,794.77,-495.99,-48.23684329530897,967.8899999999999,-1.841357900798024
