iso3,feature,country_raw,series_code,frequency,nonnull_count,indicator,bop_accounting_entry,unit
KEN,bop_workers_remittances_credit_usd,Kenya,KEN.CD_T.D752W_S1W.USD.A,Annual,50,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
KEN,bop_fdi_liabilities_usd,Kenya,KEN.L_NIL_T.D_F.USD.A,Annual,50,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
KEN,bop_other_investment_loans_liabilities_usd,Kenya,KEN.L_NIL_T.O_F4.USD.A,Annual,50,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
KEN,bop_portfolio_liabilities_usd,Kenya,KEN.L_NIL_T.P_F.USD.A,Annual,50,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
KEN,bop_reserve_assets_usd,Kenya,KEN.A_T.R_AFR.USD.A,Annual,50,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
KEN,bop_current_account_balance_usd,Kenya,KEN.NETCD_T.CAB.USD.A,Annual,50,Current account balance (credit less debit),Net (credits less debits),US dollar
UKR,bop_portfolio_liabilities_usd,Ukraine,UKR.L_NIL_T.P_F.USD.Q,Quarterly,127,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
UKR,bop_fdi_liabilities_usd,Ukraine,UKR.L_NIL_T.D_F.USD.Q,Quarterly,127,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
VEN,bop_fdi_liabilities_usd,"Venezuela, República Bolivariana de",VEN.L_NIL_T.D_F.USD.Q,Quarterly,92,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
UKR,bop_other_investment_loans_liabilities_usd,Ukraine,UKR.L_NIL_T.O_F4.USD.Q,Quarterly,127,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
BRA,bop_workers_remittances_credit_usd,Brazil,BRA.CD_T.D752W_S1W.USD.Q,Quarterly,88,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
VEN,bop_current_account_balance_usd,"Venezuela, República Bolivariana de",VEN.NETCD_T.CAB.USD.Q,Quarterly,92,Current account balance (credit less debit),Net (credits less debits),US dollar
VEN,bop_other_investment_loans_liabilities_usd,"Venezuela, República Bolivariana de",VEN.L_NIL_T.O_F4.USD.Q,Quarterly,92,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
VEN,bop_workers_remittances_credit_usd,"Venezuela, República Bolivariana de",VEN.CD_T.D752W_S1W.USD.Q,Quarterly,36,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
VEN,bop_portfolio_liabilities_usd,"Venezuela, República Bolivariana de",VEN.L_NIL_T.P_F.USD.Q,Quarterly,92,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
VEN,bop_reserve_assets_usd,"Venezuela, República Bolivariana de",VEN.A_T.R_AFR.USD.Q,Quarterly,92,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
GHA,bop_reserve_assets_usd,Ghana,GHA.A_T.R_AFR.USD.Q,Quarterly,58,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
GHA,bop_portfolio_liabilities_usd,Ghana,GHA.L_NIL_T.P_F.USD.Q,Quarterly,56,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
GHA,bop_workers_remittances_credit_usd,Ghana,GHA.CD_T.D752W_S1W.USD.Q,Quarterly,58,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
GHA,bop_other_investment_loans_liabilities_usd,Ghana,GHA.L_NIL_T.O_F4.USD.Q,Quarterly,58,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
DOM,bop_portfolio_liabilities_usd,Dominican Republic,DOM.L_NIL_T.P_F.USD.Q,Quarterly,59,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
DOM,bop_workers_remittances_credit_usd,Dominican Republic,DOM.CD_T.D752W_S1W.USD.Q,Quarterly,59,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
PER,bop_portfolio_liabilities_usd,Peru,PER.L_NIL_T.P_F.USD.Q,Quarterly,171,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JAM,bop_workers_remittances_credit_usd,Jamaica,JAM.CD_T.D752W_S1W.USD.A,Annual,36,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
PER,bop_workers_remittances_credit_usd,Peru,PER.CD_T.D752W_S1W.USD.Q,Quarterly,171,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
DOM,bop_current_account_balance_usd,Dominican Republic,DOM.NETCD_T.CAB.USD.Q,Quarterly,59,Current account balance (credit less debit),Net (credits less debits),US dollar
DOM,bop_fdi_liabilities_usd,Dominican Republic,DOM.L_NIL_T.D_F.USD.Q,Quarterly,59,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
DOM,bop_other_investment_loans_liabilities_usd,Dominican Republic,DOM.L_NIL_T.O_F4.USD.Q,Quarterly,59,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
PER,bop_current_account_balance_usd,Peru,PER.NETCD_T.CAB.USD.Q,Quarterly,171,Current account balance (credit less debit),Net (credits less debits),US dollar
GHA,bop_current_account_balance_usd,Ghana,GHA.NETCD_T.CAB.USD.Q,Quarterly,58,Current account balance (credit less debit),Net (credits less debits),US dollar
LKA,bop_portfolio_liabilities_usd,Sri Lanka,LKA.L_NIL_T.P_F.USD.Q,Quarterly,193,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
LKA,bop_other_investment_loans_liabilities_usd,Sri Lanka,LKA.L_NIL_T.O_F4.USD.Q,Quarterly,193,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
UKR,bop_workers_remittances_credit_usd,Ukraine,UKR.CD_T.D752W_S1W.USD.Q,Quarterly,103,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
UKR,bop_reserve_assets_usd,Ukraine,UKR.A_T.R_AFR.USD.Q,Quarterly,127,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
UKR,bop_current_account_balance_usd,Ukraine,UKR.NETCD_T.CAB.USD.Q,Quarterly,127,Current account balance (credit less debit),Net (credits less debits),US dollar
BRA,bop_portfolio_liabilities_usd,Brazil,BRA.L_NIL_T.P_F.USD.Q,Quarterly,204,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PER,bop_other_investment_loans_liabilities_usd,Peru,PER.L_NIL_T.O_F4.USD.Q,Quarterly,171,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
DOM,bop_reserve_assets_usd,Dominican Republic,DOM.A_T.R_AFR.USD.Q,Quarterly,59,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
NGA,bop_reserve_assets_usd,Nigeria,NGA.A_T.R_AFR.USD.Q,Quarterly,67,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
JAM,bop_portfolio_liabilities_usd,Jamaica,JAM.L_NIL_T.P_F.USD.Q,Quarterly,55,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JAM,bop_other_investment_loans_liabilities_usd,Jamaica,JAM.L_NIL_T.O_F4.USD.Q,Quarterly,55,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
MEX,bop_portfolio_liabilities_usd,Mexico,MEX.L_NIL_T.P_F.USD.Q,Quarterly,188,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
MEX,bop_workers_remittances_credit_usd,Mexico,MEX.CD_T.D752W_S1W.USD.Q,Quarterly,188,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
MEX,bop_other_investment_loans_liabilities_usd,Mexico,MEX.L_NIL_T.O_F4.USD.Q,Quarterly,188,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
MEX,bop_reserve_assets_usd,Mexico,MEX.A_T.R_AFR.USD.Q,Quarterly,188,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
MEX,bop_fdi_liabilities_usd,Mexico,MEX.L_NIL_T.D_F.USD.Q,Quarterly,188,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
MEX,bop_current_account_balance_usd,Mexico,MEX.NETCD_T.CAB.USD.Q,Quarterly,188,Current account balance (credit less debit),Net (credits less debits),US dollar
BRA,bop_reserve_assets_usd,Brazil,BRA.A_T.R_AFR.USD.Q,Quarterly,204,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
BRA,bop_fdi_liabilities_usd,Brazil,BRA.L_NIL_T.D_F.USD.Q,Quarterly,204,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
LBN,bop_workers_remittances_credit_usd,Lebanon,LBN.CD_T.D752W_S1W.USD.Q,Quarterly,88,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
LBN,bop_portfolio_liabilities_usd,Lebanon,LBN.L_NIL_T.P_F.USD.Q,Quarterly,88,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
LBN,bop_reserve_assets_usd,Lebanon,LBN.A_T.R_AFR.USD.Q,Quarterly,88,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
