iso3,start_month,end_year,source,event_type
ARG,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ARG,1965-01-01,1965,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ARG,1976-01-01,1976,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ARG,1982-01-01,1982,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ARG,2000-01-01,2000,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ARG,2001-11-01,2001,KNOWN_CRISIS_MONTHS,known_crisis_month
ARG,2014-07-01,2014,KNOWN_CRISIS_MONTHS,known_crisis_month
ARG,2020-05-01,2020,KNOWN_CRISIS_MONTHS,known_crisis_month
BRA,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
BRA,1971-01-01,1971,BoC-BoE_DEBT_2024.csv,default_or_distress_start
BRA,2003-01-01,2003,BoC-BoE_DEBT_2024.csv,default_or_distress_start
COL,1980-01-01,1980,BoC-BoE_DEBT_2024.csv,default_or_distress_start
COL,2017-01-01,2017,BoC-BoE_DEBT_2024.csv,default_or_distress_start
DOM,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
DOM,2005-04-01,2005,KNOWN_CRISIS_MONTHS,known_crisis_month
ECU,1972-01-01,1972,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ECU,1976-01-01,1976,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ECU,2008-12-01,2008,KNOWN_CRISIS_MONTHS,known_crisis_month
ECU,2020-04-01,2020,KNOWN_CRISIS_MONTHS,known_crisis_month
EGY,1964-01-01,1964,BoC-BoE_DEBT_2024.csv,default_or_distress_start
EGY,2012-01-01,2012,BoC-BoE_DEBT_2024.csv,default_or_distress_start
EGY,2016-11-01,2016,KNOWN_CRISIS_MONTHS,known_crisis_month
EGY,2023-01-01,2023,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ETH,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ETH,2023-12-01,2023,KNOWN_CRISIS_MONTHS,known_crisis_month
GHA,1965-01-01,1965,BoC-BoE_DEBT_2024.csv,default_or_distress_start
GHA,2022-12-01,2022,KNOWN_CRISIS_MONTHS,known_crisis_month
HUN,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IDN,1966-01-01,1966,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IDN,1997-01-01,1997,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IDN,2005-01-01,2005,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IDN,2012-01-01,2012,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IDN,2014-01-01,2014,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IDN,2016-01-01,2016,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IND,1967-01-01,1967,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IND,1972-01-01,1972,BoC-BoE_DEBT_2024.csv,default_or_distress_start
IND,1992-01-01,1992,BoC-BoE_DEBT_2024.csv,default_or_distress_start
JAM,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
JAM,1973-01-01,1973,BoC-BoE_DEBT_2024.csv,default_or_distress_start
JAM,1978-01-01,1978,BoC-BoE_DEBT_2024.csv,default_or_distress_start
JAM,2010-02-01,2010,KNOWN_CRISIS_MONTHS,known_crisis_month
JAM,2013-02-01,2013,KNOWN_CRISIS_MONTHS,known_crisis_month
JOR,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
KEN,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
KEN,1972-01-01,1972,BoC-BoE_DEBT_2024.csv,default_or_distress_start
KEN,1975-01-01,1975,BoC-BoE_DEBT_2024.csv,default_or_distress_start
KEN,2024-07-01,2024,KNOWN_CRISIS_MONTHS,known_crisis_month
LBN,1976-01-01,1976,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LBN,1982-01-01,1982,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LBN,2002-01-01,2002,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LBN,2020-03-01,2020,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LKA,1971-01-01,1971,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LKA,1988-01-01,1988,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LKA,2005-01-01,2005,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LKA,2007-01-01,2007,BoC-BoE_DEBT_2024.csv,default_or_distress_start
LKA,2022-05-01,2022,KNOWN_CRISIS_MONTHS,known_crisis_month
MEX,1978-01-01,1978,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MEX,1981-01-01,1981,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MEX,2013-01-01,2013,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MEX,2016-01-01,2016,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MEX,2018-01-01,2018,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MOZ,1980-01-01,1980,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MOZ,1984-01-01,1984,BoC-BoE_DEBT_2024.csv,default_or_distress_start
MOZ,2016-04-01,2016,KNOWN_CRISIS_MONTHS,known_crisis_month
NGA,1967-01-01,1967,BoC-BoE_DEBT_2024.csv,default_or_distress_start
NGA,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
NGA,2013-01-01,2013,BoC-BoE_DEBT_2024.csv,default_or_distress_start
NGA,2019-01-01,2019,BoC-BoE_DEBT_2024.csv,default_or_distress_start
NGA,2022-01-01,2022,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,1972-01-01,1972,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,1989-01-01,1989,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,1994-01-01,1994,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,1996-01-01,1996,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,1998-01-01,1998,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,2007-01-01,2007,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,2020-01-01,2020,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PAK,2023-01-01,2023,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PER,1968-01-01,1968,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PER,1976-01-01,1976,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PER,1978-01-01,1978,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PHL,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PHL,1976-01-01,1976,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PHL,1996-01-01,1996,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PHL,2006-01-01,2006,BoC-BoE_DEBT_2024.csv,default_or_distress_start
PHL,2008-01-01,2008,BoC-BoE_DEBT_2024.csv,default_or_distress_start
POL,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
POL,1981-01-01,1981,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ROU,1960-01-01,1960,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ROU,1980-01-01,1980,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ROU,1986-01-01,1986,BoC-BoE_DEBT_2024.csv,default_or_distress_start
ROU,1997-01-01,1997,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUN,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUN,1989-01-01,1989,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUN,2013-06-01,2013,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,1965-01-01,1965,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,1970-01-01,1970,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,1977-01-01,1977,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,1999-01-01,1999,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,2001-02-01,2001,KNOWN_CRISIS_MONTHS,known_crisis_month
TUR,2011-01-01,2011,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,2017-01-01,2017,BoC-BoE_DEBT_2024.csv,default_or_distress_start
TUR,2020-01-01,2020,BoC-BoE_DEBT_2024.csv,default_or_distress_start
UKR,1992-01-01,1992,BoC-BoE_DEBT_2024.csv,default_or_distress_start
UKR,2014-01-01,2014,BoC-BoE_DEBT_2024.csv,default_or_distress_start
UKR,2015-09-01,2015,KNOWN_CRISIS_MONTHS,known_crisis_month
UKR,2022-01-01,2022,BoC-BoE_DEBT_2024.csv,default_or_distress_start
VEN,1978-01-01,1978,BoC-BoE_DEBT_2024.csv,default_or_distress_start
