iso3,year_month,political_violence_events_preagg
ARG,2018-01-01,1
ARG,2018-02-01,4
ARG,2018-03-01,8
ARG,2018-04-01,6
ARG,2018-05-01,3
ARG,2018-06-01,9
ARG,2018-07-01,7
ARG,2018-08-01,5
ARG,2018-09-01,10
ARG,2018-10-01,16
ARG,2018-11-01,8
ARG,2018-12-01,12
ARG,2019-01-01,11
ARG,2019-02-01,8
ARG,2019-03-01,1
ARG,2019-04-01,4
ARG,2019-05-01,11
ARG,2019-06-01,8
ARG,2019-07-01,5
ARG,2019-08-01,11
ARG,2019-09-01,2
ARG,2019-10-01,6
ARG,2019-11-01,1
ARG,2019-12-01,7
ARG,2020-01-01,7
ARG,2020-02-01,1
ARG,2020-03-01,1
ARG,2020-04-01,11
ARG,2020-05-01,9
ARG,2020-06-01,7
ARG,2020-07-01,9
ARG,2020-08-01,6
ARG,2020-09-01,6
ARG,2020-10-01,8
ARG,2020-11-01,8
ARG,2020-12-01,5
ARG,2021-01-01,2
ARG,2021-02-01,3
ARG,2021-03-01,4
ARG,2021-04-01,7
ARG,2021-05-01,3
ARG,2021-06-01,7
ARG,2021-07-01,4
ARG,2021-08-01,13
ARG,2021-09-01,9
ARG,2021-10-01,9
ARG,2021-11-01,13
ARG,2021-12-01,7
ARG,2022-01-01,7
ARG,2022-02-01,2
ARG,2022-03-01,4
ARG,2022-04-01,5
ARG,2022-05-01,3
ARG,2022-06-01,6
ARG,2022-07-01,6
ARG,2022-08-01,2
ARG,2022-09-01,3
ARG,2022-10-01,8
ARG,2022-11-01,10
ARG,2022-12-01,9
ARG,2023-01-01,10
ARG,2023-02-01,9
ARG,2023-03-01,8
ARG,2023-04-01,8
ARG,2023-05-01,7
ARG,2023-06-01,3
ARG,2023-07-01,2
ARG,2023-08-01,3
ARG,2023-09-01,5
ARG,2023-10-01,2
ARG,2024-04-01,1
ARG,2024-05-01,1
ARG,2024-06-01,1
ARG,2024-09-01,2
ARG,2024-10-01,7
ARG,2024-11-01,1
ARG,2024-12-01,1
BRA,2018-01-01,828
BRA,2018-02-01,765
BRA,2018-03-01,876
BRA,2018-04-01,898
BRA,2018-05-01,648
BRA,2018-06-01,758
BRA,2018-07-01,809
BRA,2018-08-01,1027
BRA,2018-09-01,530
BRA,2018-10-01,651
BRA,2018-11-01,676
BRA,2018-12-01,566
BRA,2019-01-01,858
BRA,2019-02-01,434
BRA,2019-03-01,594
BRA,2019-04-01,487
BRA,2019-05-01,571
BRA,2019-06-01,517
BRA,2019-07-01,586
BRA,2019-08-01,541
BRA,2019-09-01,465
BRA,2019-10-01,558
BRA,2019-11-01,522
BRA,2019-12-01,551
BRA,2020-01-01,770
