iso3,year_month,weo_is_annual,weo_current_account_gdp,weo_fiscal_balance_gdp,weo_gdp_growth,weo_gdp_per_capita_ppp,weo_govt_debt_gdp,weo_inflation,weo_unemployment
ARG,2000-01-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-02-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-03-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-04-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-05-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-06-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-07-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-08-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-09-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-10-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-11-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2000-12-01,True,-2.878,-3.417,-0.789,22541.912,40.833,-0.734,17.134
ARG,2001-01-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-02-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-03-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-04-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-05-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-06-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-07-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-08-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-09-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-10-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-11-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2001-12-01,True,-1.316,-5.364,-4.409,21332.146,48.007,-1.544,19.209
ARG,2002-01-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-02-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-03-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-04-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-05-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-06-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-07-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-08-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-09-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-10-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-11-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2002-12-01,True,7.666,-1.91,-10.894,18826.007,147.203,40.953,22.45
ARG,2003-01-01,True,5.597,1.5,8.955,20320.153,125.162,3.656,17.25
